Transaction Date,Post Date,Description,Category,Type,Amount
4/8/2021,4/8/2021,NORTH PARK PRODUCE,Groceries,Sale,-1.04
4/8/2021,4/8/2021,LITTLE SHEEP MONGOLIAN,Food & Drink,Sale,-58.29
